fecha;afp;tipo_de_fondo;tipo_de_instrumento;nemotecnico_del_instrumento;nombre_del_emisor;nacionalidad_del_emisor;unidad_de_reajuste_de_moneda;unidades;precio;inversion;grupo_economico;moneda_contrato_forward;moneda_objeto_forward;precio_ejercicio_forward;plazo_economico;tasa_pactada_del_fondo_swap;tasa_pactada_de_la_contraparte_swap
20170131;cup;A;BRP;BR41150319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;399922;95.96691;38379278.58;;;;;773;;
20170131;cup;A;BRP;BR41121118;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;265172;95.2541;25258720.21;;;;;650;;
20170131;cup;A;BRP;BR51101117;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;294225;91.4469;26905964.15;;;;;283;;
20170131;cup;A;BRP;BR41060219;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;238087;95.84985;22820603.24;;;;;736;;
20170131;cup;A;BRP;BR41140319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;507653;95.98111;48725098.43;;;;;772;;
20170131;cup;A;BRP;BR01140319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;129939;89.99748;11694182.55;;;;;772;;
20170131;cup;A;BRP;BR41260917;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;1006464;92.73462;93334056.58;;;;;238;;
20170131;cup;A;BRP;BR41110419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;270766;96.17382;26040600.55;;;;;800;;
20170131;cup;A;BRP;BR41201118;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;471826;95.49917;45058991.38;;;;;658;;
20170131;cup;A;BRP;BR41130320;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;269379;97.99817;26398649.04;;;;;1137;;
20170131;cup;A;BRP;BR41011218;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;48570;95.40977;4634052.53;;;;;669;;
20170131;cup;A;BRP;BR41030419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;291305;96.12537;28001800.91;;;;;792;;
20170131;cup;A;BRP;BR51271218;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;447565;94.07999;42106910.72;;;;;695;;
20170131;cup;A;BRP;BR41020917;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;145958;92.50241;13501466.76;;;;;214;;
20170131;cup;A;BRP;BR41081018;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;950644;95.10263;90408744.59;;;;;615;;
20170131;cup;A;BRP;BR41280118;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;184748;93.50556;17274965.2;;;;;362;;
20170131;cup;A;BRP;BR41170320;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;30366;98.28215;2984435.77;;;;;1141;;
20170131;cup;A;BRP;BR41200118;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;329213;93.56838;30803927.08;;;;;354;;
20170131;cup;A;BRP;BR01191218;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;665964;89.4219;59551766.21;;;;;687;;
20170131;cup;A;BRP;BR41011219;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;159208;97.47961;15519533.75;;;;;1034;;
20170131;cup;A;BRP;BR41051017;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;336772;92.66565;31207196.28;;;;;247;;
20170131;cup;A;BRP;BR41070319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;550694;96.04023;52888778.42;;;;;765;;
20170131;cup;A;BRP;BR41150419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;393452;96.14657;37829060.26;;;;;804;;
20170131;cup;A;BRP;BR01020122;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;26950;95.0913;2562710.54;;;;;1797;;
20170131;cup;A;BRP;BR41160319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;413151;95.9627;39647085.47;;;;;774;;
20170131;cup;A;BRP;BR51131117;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;426094;91.42326;38954902.55;;;;;286;;
20170131;cup;A;BRP;BR41280920;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;305486;99.14267;30286697.69;;;;;1336;;
20170131;cup;A;BRP;BR41220419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;122410;96.39547;11799769.48;;;;;811;;
20170131;cup;A;BRP;BR71100418;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;45331;91.0964;4129490.91;;;;;434;;
20170131;cup;A;BRP;BR61220418;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;87093;92.16738;8027133.63;;;;;446;;
20170131;cup;A;BRP;BR41010419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;558035;96.14422;53651839.81;;;;;790;;
20170131;cup;A;BRP;BR51191018;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;234951;93.7679;22030861.87;;;;;626;;
20170131;cup;A;BRP;BR51251018;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;350636;93.72708;32864088.42;;;;;632;;
20170131;cup;A;BRP;BR01140419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;47358;90.16234;4269908.1;;;;;803;;
20170131;cup;A;BRP;BR13200419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;526607;69.57992;36641272.93;;;;;809;;
20170131;cup;A;BRP;BR41030319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;307148;95.94855;29470405.24;;;;;761;;
20170131;cup;A;BRP;BR41020119;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;208286;95.58432;19908875.68;;;;;701;;
20170131;cup;A;BRP;BR91150319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;700004;90.56889;63398585.28;;;;;773;;
20170131;cup;A;BRP;BR41010917;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;1066747;92.51019;98684967.65;;;;;213;;
20170131;cup;A;BRP;BRA2260319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;749471;71.92801;53907957.58;;;;;784;;
20170131;cup;A;BRP;BR41311018;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;348310;95.23024;33169644.89;;;;;638;;
20170131;cup;A;BRP;BR41040219;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;292249;95.74442;27981211;;;;;734;;
20170131;mod;A;BRP;BR51260720;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;395402;97.24355;38450294.16;;;;;1272;;
20170131;mod;A;BRP;BR7P041019;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;10473155;2.29594;24045735.49;;;;;976;;
20170131;mod;A;BRP;BR81141219;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;184244;93.14992;17162313.86;;;;;1047;;
20170131;mod;A;BRP;BR41111219;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;441834;97.51685;43086259.9;;;;;1044;;
20170131;mod;A;BRP;BR5T180720;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;7925317;1.73041;13714047.79;;;;;1264;;
20170131;hab;A;DEB;USP3143NAR54;CORPORACION NACIONAL DEL COBRE DE CHILE; ;US$;2000000;695.26421;1390528420;21;;;;2033;;
20170131;hab;A;DEB;USP3143NAW40;CORPORACION NACIONAL DEL COBRE DE CHILE; ;US$;650000;678.2703;440875695;21;;;;2575;;
20170131;prv;A;DEB;BCODE-B;CORPORACION NACIONAL DEL COBRE DE CHILE; ;UF;20000;30806.25435;616125087;21;;;;2578;;
20170131;cup;A;DEB;BCODE-B;CORPORACION NACIONAL DEL COBRE DE CHILE; ;UF;89000;30806.25435;2741756637.15;21;;;;2578;;
